DistrictCode,District,Student group,Headcount,Attendance Rate 
1610011,Wilton School District,Students Without High Needs,2978,0.9616
1610011,Wilton School District,Students With High Needs,696,0.9525
1620011,Winchester School District,All Students,532,0.9186
1620011,Winchester School District,Free Meal Eligible,254,0.9148
1620011,Winchester School District,Students Without High Needs,170,0.9368
1620011,Winchester School District,Students With High Needs,347,0.911
1630011,Windham School District,All Students,2960,0.8724
1630011,Windham School District,Free Meal Eligible,1847,0.8532
1630011,Windham School District,Students Without High Needs,554,0.9195
1630011,Windham School District,Students With High Needs,2338,0.8614
1640011,Windsor School District,All Students,3219,0.9048
1640011,Windsor School District,Free Meal Eligible,1015,0.8774
1640011,Windsor School District,Students Without High Needs,1546,0.927
1640011,Windsor School District,Students With High Needs,1612,0.8844
1650011,Windsor Locks School District,All Students,1428,0.9133
1650011,Windsor Locks School District,Free Meal Eligible,532,0.8873
1650011,Windsor Locks School District,Students Without High Needs,638,0.9347
1650011,Windsor Locks School District,Students With High Needs,771,0.8962
1660011,Wolcott School District,All Students,2121,0.9418
1660011,Wolcott School District,Free Meal Eligible,451,0.9306
1660011,Wolcott School District,Students Without High Needs,1280,0.9478
1660011,Wolcott School District,Students With High Needs,820,0.9328
1670011,Woodbridge School District,All Students,834,0.947
1670011,Woodbridge School District,Students Without High Needs,632,0.9494
1670011,Woodbridge School District,Students With High Needs,191,0.9398
1690011,Woodstock School District,All Students,781,0.9421
1690011,Woodstock School District,Free Meal Eligible,120,0.9249
1690011,Woodstock School District,Students Without High Needs,544,0.9481
1690011,Woodstock School District,Students With High Needs,225,0.9308
2010012,Regional School District 01,All Students,335,0.9166
2010012,Regional School District 01,Students Without High Needs,182,0.9273
2010012,Regional School District 01,Students With High Needs,146,0.9032
2040012,Regional School District 04,All Students,814,0.9344
2040012,Regional School District 04,Free Meal Eligible,140,0.9075
2040012,Regional School District 04,Students Without High Needs,519,0.9437
2040012,Regional School District 04,Students With High Needs,289,0.9178
2050012,Regional School District 05,All Students,2132,0.9335
2050012,Regional School District 05,Free Meal Eligible,240,0.9194
2050012,Regional School District 05,Students Without High Needs,1593,0.9415
2050012,Regional School District 05,Students With High Needs,528,0.9107
2060012,Regional School District 06,All Students,830,0.9244
2060012,Regional School District 06,Free Meal Eligible,157,0.911
2060012,Regional School District 06,Students Without High Needs,524,0.9329
2060012,Regional School District 06,Students With High Needs,304,0.911
2070012,Regional School District 07,All Students,906,0.9313
2070012,Regional School District 07,Free Meal Eligible,144,0.9081
2070012,Regional School District 07,Students Without High Needs,582,0.941
2070012,Regional School District 07,Students With High Needs,317,0.9155
2080012,Regional School District 08,All Students,1217,0.9456
2080012,Regional School District 08,Free Meal Eligible,160,0.9156
2080012,Regional School District 08,Students Without High Needs,880,0.9554
2080012,Regional School District 08,Students With High Needs,335,0.92
2090012,Regional School District 09,All Students,817,0.9302
2090012,Regional School District 09,Students Without High Needs,622,0.9399
2090012,Regional School District 09,Students With High Needs,190,0.8992
2100012,Regional School District 10,All Students,2118,0.9462
2100012,Regional School District 10,Free Meal Eligible,238,0.9316
2100012,Regional School District 10,Students Without High Needs,1609,0.9502
2100012,Regional School District 10,Students With High Needs,495,0.9349
2110012,Regional School District 11,All Students,210,0.9104
2110012,Regional School District 11,Students Without High Needs,88,0.9235
2110012,Regional School District 11,Students With High Needs,119,0.9008
2120012,Regional School District 12,All Students,718,0.9324
2120012,Regional School District 12,Free Meal Eligible,120,0.914
2120012,Regional School District 12,Students Without High Needs,477,0.9387
2120012,Regional School District 12,Students With High Needs,227,0.9204
2130012,Regional School District 13,All Students,1345,0.9384
2130012,Regional School District 13,Free Meal Eligible,165,0.9041
2130012,Regional School District 13,Students Without High Needs,915,0.9483
2130012,Regional School District 13,Students With High Needs,420,0.9173
2140012,Regional School District 14,All Students,1558,0.9496
2140012,Regional School District 14,Free Meal Eligible,233,0.928
2140012,Regional School District 14,Students Without High Needs,1031,0.9561
2140012,Regional School District 14,Students With High Needs,510,0.9375
2150012,Regional School District 15,All Students,3502,0.9296
2150012,Regional School District 15,Free Meal Eligible,331,0.9026
2150012,Regional School District 15,Students Without High Needs,2544,0.9351
2150012,Regional School District 15,Students With High Needs,930,0.9142
2160012,Regional School District 16,All Students,1935,0.9521
2160012,Regional School District 16,Free Meal Eligible,287,0.9331
2160012,Regional School District 16,Students Without High Needs,1342,0.9579
2160012,Regional School District 16,Students With High Needs,588,0.9387
2170012,Regional School District 17,All Students,1756,0.9417
2170012,Regional School District 17,Free Meal Eligible,163,0.9221
2170012,Regional School District 17,Students Without High Needs,1301,0.9452
2170012,Regional School District 17,Students With High Needs,431,0.9313
2180012,Regional School District 18,All Students,1228,0.938
2180012,Regional School District 18,Free Meal Eligible,141,0.9123
2180012,Regional School District 18,Students Without High Needs,896,0.9428
2180012,Regional School District 18,Students With High Needs,303,0.9238
2190012,Regional School District 19,All Students,1124,0.9314
2190012,Regional School District 19,Free Meal Eligible,228,0.8852
2190012,Regional School District 19,Students Without High Needs,725,0.9463
2190012,Regional School District 19,Students With High Needs,388,0.9039
2310018,Goodwin University Educational Services (GUES),All Students,933,0.8818
2310018,Goodwin University Educational Services (GUES),Free Meal Eligible,534,0.8633
2310018,Goodwin University Educational Services (GUES),Students Without High Needs,232,0.9108
2310018,Goodwin University Educational Services (GUES),Students With High Needs,699,0.8723
2410014,Capitol Region Education Council,All Students,9653,0.8912
2410014,Capitol Region Education Council,Students Experiencing Homelessness,51,0.7753
2410014,Capitol Region Education Council,Free Meal Eligible,5448,0.8706
2410014,Capitol Region Education Council,Students Without High Needs,2577,0.9243
2410014,Capitol Region Education Council,Students With High Needs,7062,0.879
2420014,EdAdvance,All Students,125,0.7785
2420014,EdAdvance,Free Meal Eligible,72,0.7231
2430014,Cooperative Educational Services,All Students,686,0.9004
2430014,Cooperative Educational Services,Free Meal Eligible,169,0.8614
2430014,Cooperative Educational Services,Students Without High Needs,232,0.9309
2430014,Cooperative Educational Services,Students With High Needs,448,0.8842
2440014,Area Cooperative Educational Services,All Students,1759,0.85
2440014,Area Cooperative Educational Services,Free Meal Eligible,913,0.8157
2440014,Area Cooperative Educational Services,Students Without High Needs,437,0.901
2440014,Area Cooperative Educational Services,Students With High Needs,1315,0.8331
2450014,Learn,All Students,975,0.9085
2450014,Learn,Free Meal Eligible,442,0.8839
2450014,Learn,Students Without High Needs,372,0.9353
2450014,Learn,Students With High Needs,602,0.8919
2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),All Students,386,0.8273
2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),Students Without High Needs,154,0.8412
2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),Students With High Needs,230,0.8203
2610013,Jumoke Academy District,All Students,596,0.9087
2610013,Jumoke Academy District,Students Without High Needs,441,0.906
2610013,Jumoke Academy District,Students With High Needs,148,0.9188
2630013,Odyssey Community School District,All Students,314,0.9353
2630013,Odyssey Community School District,Free Meal Eligible,108,0.9431
2630013,Odyssey Community School District,Students Without High Needs,154,0.9371
2630013,Odyssey Community School District,Students With High Needs,159,0.9359
2640013,Integrated Day Charter School District,All Students,317,0.9341
2640013,Integrated Day Charter School District,Free Meal Eligible,140,0.9265
2640013,Integrated Day Charter School District,Students Without High Needs,131,0.9406
2640013,Integrated Day Charter School District,Students With High Needs,186,0.9295
2650013,Interdistrict School for Arts and Comm District,All Students,272,0.927
2650013,Interdistrict School for Arts and Comm District,Free Meal Eligible,162,0.9121
2650013,Interdistrict School for Arts and Comm District,Students Without High Needs,66,0.9516
2650013,Interdistrict School for Arts and Comm District,Students With High Needs,206,0.9192
2680013,Common Ground High School District,All Students,211,0.8321
2680013,Common Ground High School District,Free Meal Eligible,122,0.7964
2680013,Common Ground High School District,Students Without High Needs,57,0.8919
2680013,Common Ground High School District,Students With High Needs,154,0.8102
2690013,The Bridge Academy District,All Students,268,0.9387
2690013,The Bridge Academy District,Free Meal Eligible,154,0.93
2690013,The Bridge Academy District,Students Without High Needs,64,0.9627
2690013,The Bridge Academy District,Students With High Needs,204,0.9312
2700013,Side By Side Charter School District,All Students,211,0.9459
2700013,Side By Side Charter School District,Free Meal Eligible,95,0.9456
2700013,Side By Side Charter School District,Students Without High Needs,80,0.9498
2700013,Side By Side Charter School District,Students With High Needs,131,0.9433
2720013,Explorations District,All Students,87,0.8612
2720013,Explorations District,Free Meal Eligible,48,0.8418
2720013,Explorations District,Students Without High Needs,24,0.9043
2720013,Explorations District,Students With High Needs,62,0.8453
2790013,Amistad Academy District,All Students,1093,0.8832
2790013,Amistad Academy District,Free Meal Eligible,640,0.871
2790013,Amistad Academy District,Students Without High Needs,300,0.8979
2790013,Amistad Academy District,Students With High Needs,789,0.8775
2800013,New Beginnings Inc Family Academy District,All Students,389,0.9102
2800013,New Beginnings Inc Family Academy District,Free Meal Eligible,338,0.912
2800013,New Beginnings Inc Family Academy District,Students Without High Needs,39,0.8944
2800013,New Beginnings Inc Family Academy District,Students With High Needs,347,0.9117
2830013,Park City Prep Charter School District,All Students,334,0.9393
2830013,Park City Prep Charter School District,Free Meal Eligible,218,0.9378
2830013,Park City Prep Charter School District,Students Without High Needs,63,0.9327
2830013,Park City Prep Charter School District,Students With High Needs,270,0.9407
2850013,Achievement First Bridgeport Academy District,All Students,1064,0.8728
2850013,Achievement First Bridgeport Academy District,Free Meal Eligible,518,0.8583
2850013,Achievement First Bridgeport Academy District,Students Without High Needs,394,0.8853
2850013,Achievement First Bridgeport Academy District,Students With High Needs,662,0.8665
2860013,Highville Charter School District,All Students,405,0.8807
2860013,Highville Charter School District,Free Meal Eligible,252,0.869
2860013,Highville Charter School District,Students Without High Needs,94,0.9009
2860013,Highville Charter School District,Students With High Needs,307,0.8741
2880013,Achievement First Hartford Academy District,All Students,1089,0.8827
2880013,Achievement First Hartford Academy District,Free Meal Eligible,686,0.8712
2880013,Achievement First Hartford Academy District,Students Without High Needs,303,0.8996
2880013,Achievement First Hartford Academy District,Students With High Needs,782,0.8763
2890013,Elm City College Preparatory School District,All Students,754,0.8675
2890013,Elm City College Preparatory School District,Free Meal Eligible,450,0.8562
2890013,Elm City College Preparatory School District,Students Without High Needs,226,0.8801
2890013,Elm City College Preparatory School District,Students With High Needs,528,0.8621
2900013,Brass City Charter School District,All Students,318,0.9187
2900013,Brass City Charter School District,Students Without High Needs,132,0.9275
2900013,Brass City Charter School District,Students With High Needs,183,0.9127
2910013,Elm City Montessori School District,All Students,201,0.942
2910013,Elm City Montessori School District,Students Without High Needs,112,0.9566
2910013,Elm City Montessori School District,Students With High Needs,88,0.9228
2940013,Great Oaks Charter School District,All Students,577,0.9118
2940013,Great Oaks Charter School District,Free Meal Eligible,290,0.8988
2940013,Great Oaks Charter School District,Students Without High Needs,178,0.9311
2940013,Great Oaks Charter School District,Students With High Needs,398,0.9035
2950013,Booker T. Washington Academy District,All Students,489,0.9146
2950013,Booker T. Washington Academy District,Free Meal Eligible,284,0.9022
2950013,Booker T. Washington Academy District,Students Without High Needs,87,0.9421
2950013,Booker T. Washington Academy District,Students With High Needs,400,0.9086
2960013,Stamford Charter School for Excellence District,All Students,427,0.9308
2960013,Stamford Charter School for Excellence District,Free Meal Eligible,170,0.9289
2960013,Stamford Charter School for Excellence District,Students Without High Needs,193,0.9298
2960013,Stamford Charter School for Excellence District,Students With High Needs,232,0.9315
2970013,Capital Preparatory Harbor School District,All Students,731,0.9102
2970013,Capital Preparatory Harbor School District,Free Meal Eligible,393,0.9067
2970013,Capital Preparatory Harbor School District,Students Without High Needs,224,0.9126
2970013,Capital Preparatory Harbor School District,Students With High Needs,504,0.9092
3360015,Unified School District #1,All Students,140,0.9564
3360015,Unified School District #1,Free Meal Eligible,102,0.9536
3470015,Unified School District #2,All Students,78,0.9202
3470015,Unified School District #2,Free Meal Eligible,56,0.9251
9000016,Connecticut Technical Education and Career System,All Students,11138,0.8985
9000016,Connecticut Technical Education and Career System,Students Experiencing Homelessness,27,0.7152
9000016,Connecticut Technical Education and Career System,Free Meal Eligible,4181,0.8932
9000016,Connecticut Technical Education and Career System,Students Without High Needs,5001,0.9038
9000016,Connecticut Technical Education and Career System,Students With High Needs,6130,0.8943
9010022,Norwich Free Academy District,All Students,2068,0.894
9010022,Norwich Free Academy District,Free Meal Eligible,846,0.8664
9010022,Norwich Free Academy District,Students Without High Needs,858,0.9209
9010022,Norwich Free Academy District,Students With High Needs,1156,0.8742
9020022,The Gilbert School District,All Students,421,0.8901
9020022,The Gilbert School District,Free Meal Eligible,154,0.8646
9020022,The Gilbert School District,Students Without High Needs,189,0.9157
9020022,The Gilbert School District,Students With High Needs,228,0.8696
9030022,The Woodstock Academy District,All Students,1060,0.9288
9030022,The Woodstock Academy District,Free Meal Eligible,23,0.8478
9030022,The Woodstock Academy District,Students Without High Needs,949,0.9318
9030022,The Woodstock Academy District,Students With High Needs,93,0.9041
