UserLanguage,Dem_age,Dem_gender,Dem_edu,Dem_edu_mom,Dem_employment,Country,Dem_Expat,Dem_state,Dem_maritalstatus,Dem_dependents,Dem_riskgroup,Dem_islolation,Dem_isolation_adults,Dem_isolation_kids,AD_gain,AD_loss,AD_check,Scale_PSS10_UCLA_1,Scale_PSS10_UCLA_2,Scale_PSS10_UCLA_3,Scale_PSS10_UCLA_4,Scale_PSS10_UCLA_5,Scale_PSS10_UCLA_6,Scale_PSS10_UCLA_7,Scale_PSS10_UCLA_8,Scale_PSS10_UCLA_9,Scale_PSS10_UCLA_10,Scale_SLON_1,Scale_SLON_2,Scale_SLON_3,OECD_people_1,OECD_people_2,OECD_insititutions_1,OECD_insititutions_2,OECD_insititutions_3,OECD_insititutions_4,OECD_insititutions_5,OECD_insititutions_6,Corona_concerns_1,Corona_concerns_2,Corona_concerns_3,Corona_concerns_4,Corona_concerns_5,Trust_countrymeasure,Compliance_1,Compliance_2,Compliance_3,Compliance_4,Compliance_5,Compliance_6
EN,37,Male,"College degree, bachelor, master",College degree,Full time employed,Chile,yes,Región metropolitana,Married/cohabiting,4,No,Life carries on with minor changes,3,1,NA,Program D,Not sure,2,3,3,2,3,3,5,5,2,1,2,3,3,5,10,3,8,5,8,5,8,5,5,5,5,5,5,4,5,5,3,4,4
EN,42,Female,PhD/Doctorate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Program D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,30,Female,"College degree, bachelor, master",Some College or equivalent,Full time employed,Finland,yes,Helsinki,Married/cohabiting,0,Yes,Life carries on with minor changes,1,0,NA,Program D,No,1,2,3,4,3,2,5,5,2,1,3,2,3,5,9,10,9,10,8,9,10,2,6,4,4,6,5,5,6,6,3,2,1
EN,18,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,Student,France,no,NA,Other or would rather not say,0,No,Isolated,4,0,Program A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,34,Female,PhD/Doctorate,Up to 12 years of school,Full time employed,Finland,yes,Finland,Married/cohabiting,0,Not sure,Life carries on with minor changes,1,0,Program A,NA,No,3,2,3,2,3,3,2,3,3,1,3,3,4,9,9,9,8,9,9,10,9,5,6,6,5,6,5,5,5,5,2,3,4
EN,50,Male,PhD/Doctorate,Up to 12 years of school,Full time employed,Finland,yes,North Karelia,Married/cohabiting,0,Yes,Isolated,1,0,Program B,NA,No,1,4,4,3,1,5,3,3,4,3,3,3,5,7,9,8,7,8,9,9,7,5,6,5,5,6,4,5,4,4,5,4,3
EN,36,Male,"College degree, bachelor, master",Up to 9 years of school,Retired,Finland,no,NA,Married/cohabiting,2,Yes,Life carries on with minor changes,0,2,NA,Program D,Not sure,3,2,4,5,4,1,3,4,4,1,5,4,4,7,8,6,10,7,10,0,6,6,6,6,6,6,4,5,6,6,4,3,4
EN,39,Male,"College degree, bachelor, master",Some College or equivalent,Full time employed,Costa Rica,no,San Jose,Married/cohabiting,1,Yes,Life carries on with minor changes,1,0,NA,Program D,No,3,2,3,3,4,3,3,4,3,2,1,2,4,5,8,8,6,8,10,6,10,5,6,5,6,6,10,6,6,6,3,3,6
EN,37,Male,PhD/Doctorate,College degree,Full time employed,Finland,yes,Kauniainen,Married/cohabiting,2,Yes,Isolated,1,1,Program B,NA,No,3,3,4,4,3,3,3,4,3,2,2,3,4,7,8,7,7,7,7,7,3,5,5,5,5,5,3,2,5,5,2,2,2
EN,34,Female,"College degree, bachelor, master",Some College or equivalent,Full time employed,Finland,yes,Uusimaa,Married/cohabiting,1,Not sure,Life carries on with minor changes,NA,NA,NA,Program D,No,3,4,3,4,3,3,5,4,2,3,1,1,2,8,10,8,7,8,8,6,7,5,5,5,5,6,4,5,3,4,2,5,3
EN,46,Female,"College degree, bachelor, master",College degree,Self-employed,Finland,yes,NA,Married/cohabiting,2,No,Life carries on with minor changes,2,2,NA,Program C,No,2,2,3,4,4,1,4,4,3,3,2,2,3,9,9,9,6,9,9,8,9,5,5,5,5,5,5,5,5,5,1,5,4
EN,34,Female,PhD/Doctorate,College degree,Student,Finland,yes,NA,Divorced/widowed,0,No,Isolated,0,0,NA,Program D,No,2,5,4,3,3,4,3,2,4,4,5,4,5,3,2,4,5,2,6,3,5,1,3,3,1,1,7,5,5,5,6,5,2
EN,55,Male,"Some College, short continuing education or equivalent",Up to 9 years of school,Not employed,Sweden,yes,Stockholm,Married/cohabiting,0,Yes,Isolated,2,0,NA,Program C,No,4,4,5,3,2,5,3,2,3,5,2,5,5,6,10,7,8,5,6,9,5,4,6,6,2,5,2,6,6,5,2,4,1
EN,41,Female,"Some College, short continuing education or equivalent",Up to 9 years of school,Student,Finland,yes,Helsinki,Married/cohabiting,0,Yes,Isolated,1,0,Program B,NA,No,3,3,4,3,4,4,4,3,3,3,3,4,4,7,8,7,5,7,5,8,6,5,5,5,5,6,4,6,5,5,2,4,5
EN,23,Male,"College degree, bachelor, master",College degree,Full time employed,Finland,yes,Helsinki,Married/cohabiting,0,No,Life carries on with minor changes,1,0,NA,Program C,No,3,4,3,4,3,3,4,3,4,2,2,2,3,7,9,8,9,7,8,7,7,5,4,4,6,6,8,6,5,5,2,5,2
EN,25,Female,"College degree, bachelor, master",College degree,Full time employed,Finland,no,Uusimaa,Single,0,No,Life carries on with minor changes,0,0,Program A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,53,Male,"College degree, bachelor, master",College degree,Full time employed,Germany,yes,Hessen,Divorced/widowed,0,Yes,Isolated,0,0,NA,Program C,No,3,3,4,4,3,2,5,4,3,3,5,3,5,8,9,9,9,9,10,10,10,6,6,6,6,6,5,6,6,6,2,4,5
EN,37,Female,"College degree, bachelor, master",Some College or equivalent,Full time employed,United Kingdom,yes,Cambridgeshire,Married/cohabiting,0,Yes,Life carries on with minor changes,2,0,NA,Program D,Not sure,2,3,3,2,3,4,3,2,3,3,3,4,5,7,8,0,5,6,6,8,0,2,5,4,5,5,0,4,5,6,5,3,4
EN,45,Male,"College degree, bachelor, master",Some College or equivalent,Full time employed,Finland,yes,NA,Married/cohabiting,2,Yes,Life carries on with minor changes,1,1,Program A,NA,Not sure,2,2,3,5,4,2,5,5,2,2,3,3,3,6,7,8,6,8,9,7,7,5,5,5,4,5,4,5,5,5,2,2,4
EN,34,Male,"Some College, short continuing education or equivalent",Up to 12 years of school,Not employed,Finland,no,NA,Married/cohabiting,NA,Yes,Life carries on as usual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,56,Male,"Some College, short continuing education or equivalent",Some College or equivalent,Full time employed,Finland,yes,Uusima,Married/cohabiting,0,Yes,Life carries on with minor changes,1,0,NA,Program D,No,3,2,2,4,5,3,4,4,3,1,1,1,3,3,10,7,5,5,4,0,7,4,6,5,6,6,5,5,5,5,4,4,2
EN,56,Male,"College degree, bachelor, master",College degree,Full time employed,Finland,yes,NA,Married/cohabiting,2,Not sure,Life carries on with minor changes,1,0,Program B,NA,Yes,2,2,1,5,5,2,4,4,1,1,1,1,1,8,9,5,8,3,5,1,4,3,3,3,3,3,4,5,5,3,3,5,1
EN,45,Male,PhD/Doctorate,College degree,Student,Finland,yes,pirkanmaa,Married/cohabiting,2,Yes,Life carries on with minor changes,2,2,Program A,NA,No,1,4,1,5,4,3,4,5,2,1,1,1,1,3,4,3,3,4,5,7,5,5,6,4,6,6,3,6,3,6,1,5,6
EN,79,Male,PhD/Doctorate,Up to 12 years of school,Retired,Finland,yes,Uusimaa,Married/cohabiting,0,Yes,Life carries on as usual,1,0,NA,Program D,No,1,4,NA,4,4,2,4,4,3,2,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,5,6,9,6,6,6,3,4,2
EN,33,Female,PhD/Doctorate,College degree,Full time employed,Finland,yes,NA,Single,0,Not sure,Isolated,0,0,Program A,NA,Yes,3,3,3,4,3,2,4,3,3,2,3,2,3,6,8,7,6,6,6,7,7,3,5,4,4,4,4,5,4,4,2,3,4
EN,49,Male,"College degree, bachelor, master",Up to 12 years of school,Full time employed,Finland,yes,Uusimaa,Married/cohabiting,2,No,Isolated,1,2,Program A,NA,Not sure,3,3,2,5,4,4,4,3,5,2,3,2,3,6,8,NA,4,4,4,8,NA,5,5,5,5,5,0,3,6,6,3,3,4
EN,34,Male,"Some College, short continuing education or equivalent",Up to 12 years of school,Not employed,Finland,yes,NA,Married/cohabiting,2,Yes,Life carries on as usual,1,2,NA,Program D,Yes,5,1,2,4,4,5,5,5,3,5,3,2,2,3,8,7,9,1,1,3,8,3,6,4,4,6,8,5,5,6,2,4,1
EN,32,Female,"College degree, bachelor, master",Up to 12 years of school,Full time employed,Finland,yes,uusimaa,Married/cohabiting,1,No,Life carries on with minor changes,0,0,Program A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,40,Female,"College degree, bachelor, master",College degree,Full time employed,Finland,no,Pohjois-Pohjanmaa,Married/cohabiting,2,No,Life carries on with minor changes,1,0,Program A,NA,No,2,1,2,5,4,2,5,3,1,1,3,2,3,8,9,8,8,8,9,9,9,3,3,3,3,3,5,NA,5,4,5,4,2
EN,40,Male,"College degree, bachelor, master",College degree,Self-employed,Finland,yes,Uusimaa,Married/cohabiting,2,Yes,Life carries on with minor changes,2,2,NA,Program D,No,3,3,4,4,4,2,3,4,5,3,4,4,4,2,6,0,0,0,5,8,0,6,6,4,6,6,0,6,6,6,1,5,6
EN,48,Female,"College degree, bachelor, master",College degree,Not employed,India,yes,NA,Married/cohabiting,0,No,Isolated,1,0,Program A,NA,No,2,3,2,3,3,3,3,3,2,3,3,3,3,6,9,8,7,7,7,7,8,4,4,4,5,6,7,5,5,5,2,5,3
EN,38,Female,Up to 12 years of school,Some College or equivalent,Full time employed,Finland,yes,NA,Married/cohabiting,3,Yes,Life carries on with minor changes,1,2,NA,NA,NA,3,2,1,5,3,3,5,4,3,1,1,3,1,8,10,8,6,6,9,9,9,5,6,5,6,6,6,5,6,6,2,2,2
EN,46,Female,"College degree, bachelor, master",Some College or equivalent,Full time employed,Finland,yes,NA,Married/cohabiting,2,No,Isolated,1,2,Program A,NA,No,4,5,5,3,2,5,3,2,4,4,2,2,2,7,8,8,8,8,7,8,7,4,6,6,5,5,5,5,5,5,3,3,3
EN,25,Female,"College degree, bachelor, master",College degree,Self-employed,Finland,yes,NA,Single,0,No,Isolated,2,0,NA,Program C,No,5,4,5,3,2,4,3,4,4,4,3,3,4,7,8,6,6,6,9,6,9,4,3,2,4,6,6,6,5,6,4,3,3
EN,52,Female,"College degree, bachelor, master",Some College or equivalent,Self-employed,Finland,yes,NA,Married/cohabiting,2,Yes,Life carries on with minor changes,2,0,Program B,NA,No,2,2,2,5,4,3,4,2,2,3,2,4,4,8,8,8,10,8,8,9,9,4,5,3,4,3,9,6,5,5,1,5,4
EN,24,Female,"College degree, bachelor, master",Some College or equivalent,Self-employed,Finland,yes,Uusimaa,Married/cohabiting,0,Not sure,Life carries on with minor changes,1,0,NA,Program D,No,3,2,3,3,3,4,4,2,3,3,2,2,2,7,8,8,7,9,6,5,8,4,5,5,4,6,4,5,4,5,2,5,1
EN,43,Female,"College degree, bachelor, master",Some College or equivalent,Full time employed,Finland,yes,Oulu,Single,1,No,Life carries on with minor changes,0,1,NA,Program C,Not sure,3,3,4,3,3,2,4,3,2,2,4,4,4,2,5,7,7,7,7,7,7,5,5,4,4,3,5,6,6,6,2,3,3
EN,45,Male,"College degree, bachelor, master",Some College or equivalent,Self-employed,Finland,yes,Lapland,Divorced/widowed,1,Yes,Life carries on as usual,1,1,NA,Program C,No,2,1,2,4,4,1,5,4,2,1,3,3,3,5,7,9,10,9,10,5,9,3,3,3,3,5,8,5,5,5,5,5,1
EN,49,Female,"College degree, bachelor, master",Up to 12 years of school,Full time employed,United States,no,Minnesota,Married/cohabiting,2,Yes,Isolated,1,2,NA,NA,NA,3,4,5,3,2,3,2,2,4,4,2,3,5,4,8,3,6,8,7,8,0,5,5,5,6,6,0,6,5,6,1,4,3
EN,63,Female,"College degree, bachelor, master",Up to 9 years of school,Self-employed,United States,no,Minnesota,Married/cohabiting,0,Yes,Isolated,1,0,Program A,NA,Not sure,3,3,3,5,5,2,2,5,2,2,3,3,3,6,8,4,5,9,5,9,1,5,6,6,6,6,0,6,6,5,3,3,6
EN,52,Male,"College degree, bachelor, master",PhD/Doctorate,Not employed,United Kingdom,no,Oxfordshire,Single,0,Yes,Isolated,1,0,Program B,NA,No,3,4,3,3,3,3,4,3,3,3,4,4,3,6,6,6,7,7,7,7,6,5,5,5,6,6,4,6,4,4,4,4,2
EN,31,Male,"College degree, bachelor, master",College degree,Full time employed,Ireland,yes,Dublin,Single,0,Yes,Life carries on with minor changes,NA,NA,Program B,NA,No,2,2,3,4,3,1,4,4,2,1,3,2,3,5,8,7,8,7,6,7,8,4,5,3,4,5,5,5,5,6,2,4,3
EN,45,Female,"College degree, bachelor, master",College degree,Student,Finland,no,Raasepori,Married/cohabiting,1,Yes,Isolated,1,1,NA,Program D,No,1,3,2,4,2,4,4,2,2,3,3,4,4,8,8,7,7,8,8,9,6,6,6,5,5,5,3,3,6,6,1,3,2
EN,37,Male,"College degree, bachelor, master",College degree,Full time employed,Finland,yes,Uusimaa,Single,0,No,Isolated,1,0,Program A,NA,No,2,3,2,4,3,2,5,4,3,2,2,3,1,6,8,9,9,7,8,9,9,4,6,4,4,4,5,5,4,4,2,4,2
EN,28,Female,"College degree, bachelor, master",Some College or equivalent,Self-employed,United Kingdom,yes,Kent,Married/cohabiting,2,No,Life carries on with minor changes,NA,NA,Program A,NA,No,2,3,3,3,3,2,4,4,2,1,3,2,3,6,9,2,7,5,4,5,1,1,5,3,3,4,1,4,4,5,1,5,5
EN,38,Other/would rather not say,"Some College, short continuing education or equivalent",College degree,Full time employed,United Kingdom,no,Suffok,Married/cohabiting,0,Yes,Isolated,1,0,NA,Program D,No,3,5,5,3,2,3,2,1,4,4,5,3,5,3,9,1,9,7,9,10,2,3,4,3,6,6,10,5,5,5,4,3,1
EN,41,Male,"College degree, bachelor, master",PhD/Doctorate,Self-employed,Finland,yes,oulu,Single,1,Yes,Life carries on with minor changes,NA,NA,Program A,NA,Not sure,2,2,3,4,3,2,3,2,2,1,3,2,3,7,6,4,5,7,6,3,6,5,5,5,5,5,5,5,6,5,3,5,1
EN,23,Female,"Some College, short continuing education or equivalent",College degree,Student,United Kingdom,yes,NA,Married/cohabiting,0,No,Life carries on with minor changes,1,0,NA,Program C,Yes,3,2,3,4,3,3,4,3,2,2,2,4,3,8,7,7,7,6,6,5,7,5,3,4,6,6,5,6,5,4,2,3,1
EN,24,Male,"College degree, bachelor, master",Up to 12 years of school,Student,Finland,yes,Usimaa,Single,0,Yes,Isolated,2,0,Program A,NA,No,1,4,4,4,3,4,3,2,3,5,4,5,5,3,7,10,10,10,10,10,10,4,6,3,6,6,4,6,6,6,6,1,4
EN,29,Male,"College degree, bachelor, master",Some College or equivalent,Full time employed,Finland,yes,Helsinki,Single,0,No,Isolated,1,0,NA,Program D,Yes,3,3,3,3,3,3,4,3,2,3,4,3,4,8,7,9,9,9,8,6,9,4,4,4,4,4,7,4,4,4,4,4,2
EN,41,Female,PhD/Doctorate,Up to 12 years of school,Full time employed,Finland,yes,Uusima,Married/cohabiting,1,Yes,Isolated,1,1,Program B,NA,Yes,3,5,5,2,1,5,4,1,5,5,1,1,3,8,10,9,3,4,8,5,8,6,6,2,6,5,8,6,6,6,2,2,2
EN,44,Female,"College degree, bachelor, master",Some College or equivalent,Part time employed,United Kingdom,no,NA,Married/cohabiting,1,Yes,Life carries on with minor changes,NA,NA,NA,Program D,No,2,2,2,5,4,1,4,5,1,1,1,2,3,7,9,7,7,9,9,7,7,5,6,5,5,5,5,6,5,6,2,4,4
EN,35,Male,PhD/Doctorate,Up to 6 years of school,Full time employed,Finland,yes,Oulu,Married/cohabiting,1,No,Life carries on with minor changes,1,1,NA,Program C,No,3,2,3,4,5,2,1,3,3,2,1,1,1,8,9,9,10,9,9,5,7,6,6,4,3,4,6,4,6,6,1,3,3
EN,43,Female,PhD/Doctorate,Some College or equivalent,Full time employed,Finland,yes,Helsinki,Single,0,Yes,Life carries on with minor changes,0,0,NA,Program D,No,3,4,4,3,3,4,3,3,2,3,5,4,5,1,6,3,4,6,7,3,1,6,6,6,6,5,1,6,6,6,4,2,2
EN,42,Female,PhD/Doctorate,PhD/Doctorate,Full time employed,Finland,yes,Vantaa,Divorced/widowed,2,Yes,Life carries on with minor changes,0,2,NA,Program C,No,4,4,5,4,3,4,4,3,4,5,3,2,2,8,9,9,10,10,9,7,10,5,3,3,6,6,5,5,3,2,5,3,6
EN,42,Male,"College degree, bachelor, master",Up to 9 years of school,Full time employed,Finland,yes,NA,Married/cohabiting,0,Yes,Isolated,1,0,NA,Program D,No,1,2,3,4,3,2,4,3,1,1,3,1,4,5,9,7,6,6,6,8,6,6,6,6,5,4,4,5,6,6,2,1,4
EN,31,Female,"Some College, short continuing education or equivalent",College degree,Part time employed,Finland,no,Uusimaa,Married/cohabiting,0,Yes,Isolated,1,0,Program B,NA,No,2,3,3,3,3,3,3,3,4,3,4,2,3,5,8,6,7,7,7,7,6,6,6,5,6,6,3,3,6,6,1,1,2
EN,20,Female,Up to 12 years of school,College degree,Student,Lithuania,no,Vilnius,Single,0,No,Isolated,3,0,Program A,NA,No,5,3,4,4,2,1,4,4,5,3,2,5,1,3,6,0,1,3,8,8,0,6,6,6,5,6,0,4,5,4,6,5,1
EN,34,Female,PhD/Doctorate,Some College or equivalent,Part time employed,Finland,no,Uusimaa,Married/cohabiting,2,Yes,Isolated,1,2,Program A,NA,No,5,5,5,2,1,5,2,2,4,5,5,5,3,4,5,3,10,10,7,1,1,5,6,2,5,5,1,3,6,6,6,2,5
EN,31,Female,PhD/Doctorate,College degree,Full time employed,Finland,yes,Helsinki,Married/cohabiting,1,Yes,Isolated,2,1,Program A,NA,Yes,4,3,5,3,1,5,3,3,4,3,1,3,4,4,7,8,8,7,8,2,4,6,6,6,6,6,5,5,5,5,5,1,2
EN,27,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,Self-employed,Finland,no,Satakunta,Married/cohabiting,1,No,Life carries on as usual,NA,NA,Program B,NA,No,3,2,3,5,3,3,3,2,3,2,5,2,2,2,3,4,7,7,10,3,4,6,6,4,6,6,3,5,5,5,4,1,1
EN,33,Male,PhD/Doctorate,Some College or equivalent,Not employed,Finland,yes,Uusima,Single,0,Not sure,Life carries on with minor changes,0,0,Program B,NA,No,3,3,3,4,3,3,4,3,3,2,4,3,3,6,8,8,8,8,7,6,8,4,5,4,5,5,7,6,6,5,3,3,1
EN,41,Female,"College degree, bachelor, master",Up to 9 years of school,Full time employed,Finland,yes,Pirkanmaa,Married/cohabiting,2,Yes,Life carries on with minor changes,1,2,Program A,NA,No,2,2,2,4,3,3,3,3,2,2,3,2,3,5,5,7,8,7,7,2,6,5,6,6,6,5,4,5,4,5,2,3,4
EN,24,Male,"College degree, bachelor, master",Up to 12 years of school,Student,Finland,yes,Uusimaa,Other or would rather not say,0,Yes,Isolated,2,0,NA,Program D,Yes,2,4,4,4,3,4,4,3,4,3,4,3,5,5,8,8,8,8,8,7,7,4,4,4,4,2,4,6,6,5,2,4,5
EN,50,Female,"College degree, bachelor, master",Some College or equivalent,Full time employed,Lithuania,no,NA,Married/cohabiting,2,No,Life carries on with minor changes,NA,NA,NA,Program C,No,5,4,3,3,1,2,4,2,2,5,2,2,2,10,10,2,2,1,3,1,2,3,3,3,3,3,8,5,5,6,3,5,1
EN,40,Female,"College degree, bachelor, master",Up to 9 years of school,Full time employed,Finland,yes,Uusimaa,Married/cohabiting,3,No,Isolated,2,2,Program B,NA,No,4,5,5,2,2,5,3,3,5,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,55,Female,"College degree, bachelor, master",College degree,Full time employed,Finland,yes,NA,Married/cohabiting,1,Yes,Life carries on with minor changes,NA,NA,NA,Program C,No,4,2,4,3,3,2,4,3,4,3,4,3,4,4,6,8,8,5,5,2,9,5,5,5,5,5,5,5,4,5,4,4,4
EN,61,Female,"College degree, bachelor, master",College degree,Retired,Finland,no,NA,Married/cohabiting,0,Yes,Life carries on with minor changes,1,0,NA,Program D,No,2,2,2,5,5,1,2,5,1,2,2,1,3,7,10,9,9,9,9,7,9,5,5,5,5,5,5,5,5,5,2,5,5
EN,48,Female,"College degree, bachelor, master",College degree,Full time employed,Finland,no,NA,Married/cohabiting,2,Yes,Life carries on with minor changes,1,0,Program A,NA,Not sure,4,2,2,5,2,1,3,5,1,1,1,1,1,7,9,8,10,9,8,8,10,5,5,4,5,5,4,5,5,4,2,3,1
EN,32,Male,"College degree, bachelor, master",Some College or equivalent,Full time employed,Finland,yes,NA,Married/cohabiting,1,Yes,Life carries on with minor changes,1,1,Program B,NA,Yes,2,3,2,4,4,3,4,4,2,3,3,2,3,7,8,9,10,9,7,7,9,3,5,4,4,5,5,6,5,5,2,4,4
EN,28,Female,"College degree, bachelor, master",Up to 12 years of school,Full time employed,Finland,yes,Helsinki,Married/cohabiting,0,Yes,Isolated,1,0,NA,Program C,Not sure,3,3,4,4,3,3,3,2,4,3,3,5,4,2,5,8,6,7,5,8,7,5,5,5,6,5,4,6,5,5,3,1,4
EN,24,Female,"College degree, bachelor, master",Up to 12 years of school,Not employed,Finland,yes,uusimaa,Married/cohabiting,0,No,Isolated,1,0,Program A,NA,No,3,3,4,2,3,2,3,2,3,3,3,5,4,6,5,8,8,8,9,3,6,5,5,6,4,6,6,5,5,5,3,3,3
EN,39,Male,"College degree, bachelor, master",College degree,Student,Finland,yes,Uusimaa,Single,0,Yes,Isolated,1,0,NA,Program D,No,3,4,3,4,3,3,4,2,2,2,1,1,4,7,8,8,9,7,8,7,8,5,6,4,6,6,8,5,5,5,2,4,2
EN,27,Male,"College degree, bachelor, master",Up to 12 years of school,Part time employed,Finland,no,Savo,Married/cohabiting,0,No,Isolated,1,0,NA,Program C,No,2,3,4,1,2,5,3,3,3,3,2,1,4,7,10,10,10,10,10,10,10,1,3,3,1,5,5,6,2,2,1,5,1
EN,30,Female,PhD/Doctorate,College degree,Full time employed,Finland,yes,Uusimaa,Married/cohabiting,1,Yes,Life carries on with minor changes,1,1,Program B,NA,Not sure,3,3,2,4,3,2,3,4,3,2,3,2,3,5,8,8,8,8,9,8,9,3,3,3,3,3,6,5,4,4,3,4,4
EN,35,Male,"College degree, bachelor, master",College degree,Full time employed,Finland,no,NA,Married/cohabiting,0,Yes,Life carries on with minor changes,1,0,Program B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,36,Male,"College degree, bachelor, master",Some College or equivalent,Full time employed,Finland,no,NA,Married/cohabiting,2,Yes,Isolated,1,2,NA,Program D,No,3,4,5,3,2,4,3,2,4,4,1,3,4,6,8,5,3,6,5,5,6,3,5,4,5,5,5,5,6,6,3,3,4
EN,20,Female,"Some College, short continuing education or equivalent",College degree,Student,Finland,yes,Mikkeli,Married/cohabiting,0,No,Isolated,1,0,NA,Program D,No,4,5,5,2,1,4,2,2,4,4,3,3,5,5,7,4,7,7,9,5,4,4,6,6,3,4,3,6,4,5,2,4,2
EN,29,Male,Up to 9 years of school,Up to 9 years of school,Not employed,Finland,yes,Pirkanmaa,Single,0,No,Life carries on with minor changes,0,0,NA,Program D,Not sure,2,4,3,3,4,1,4,2,3,2,4,3,3,6,8,9,9,8,7,5,9,2,3,3,4,4,5,5,5,3,3,5,2
EN,39,Female,"College degree, bachelor, master",Some College or equivalent,Full time employed,Finland,no,NA,Married/cohabiting,2,Yes,Life carries on with minor changes,2,0,NA,Program C,Not sure,5,5,4,5,1,3,4,4,5,2,4,1,5,2,9,4,10,10,10,5,1,1,1,1,6,6,10,6,6,3,5,6,6
EN,54,Male,"College degree, bachelor, master",Up to 12 years of school,Self-employed,Finland,yes,Lahti,Single,0,Yes,NA,0,0,NA,Program C,No,1,3,3,3,2,2,4,2,1,2,4,3,3,7,9,7,7,7,7,6,7,5,5,5,5,5,7,5,6,5,3,4,1
EN,45,Other/would rather not say,"College degree, bachelor, master",Up to 12 years of school,Student,Finland,no,NA,Married/cohabiting,2,Yes,Life carries on with minor changes,1,2,Program B,NA,No,3,3,5,3,3,5,3,3,3,3,3,4,4,4,5,6,6,6,4,1,6,5,6,6,6,6,4,6,6,6,4,1,3
EN,35,Male,"College degree, bachelor, master",College degree,Full time employed,Finland,no,NA,Single,0,Yes,Life carries on as usual,0,0,NA,Program C,Yes,2,4,3,3,2,1,4,2,2,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,50,Female,"College degree, bachelor, master",Some College or equivalent,Full time employed,United States,no,Georgia,Single,0,Yes,Life carries on with minor changes,0,0,NA,Program D,No,2,1,1,5,4,1,5,4,2,2,1,1,2,4,6,5,5,5,5,7,4,4,6,4,6,6,3,5,5,5,1,2,4
EN,41,Female,PhD/Doctorate,Some College or equivalent,Full time employed,Finland,no,NA,Married/cohabiting,0,No,Life carries on with minor changes,1,0,NA,Program C,Yes,3,3,2,4,4,3,3,4,2,1,2,2,2,7,7,7,5,9,9,9,8,3,4,2,4,6,6,6,5,4,3,5,3
EN,34,Female,"College degree, bachelor, master",College degree,Part time employed,Finland,yes,Uusimaa,Married/cohabiting,0,Yes,Life carries on with minor changes,1,0,Program A,NA,No,3,2,3,3,4,4,4,3,2,3,3,3,4,7,9,8,10,10,10,8,9,2,6,5,6,6,5,6,5,5,2,5,4
EN,45,Female,"College degree, bachelor, master",Up to 12 years of school,Full time employed,Finland,no,"Uusimaa, finland",Married/cohabiting,1,No,Life carries on with minor changes,1,1,NA,Program C,No,2,2,1,5,3,2,5,5,2,3,2,1,1,9,10,8,10,9,9,7,9,2,2,2,3,6,5,5,5,4,4,5,3
EN,41,Female,PhD/Doctorate,College degree,Full time employed,Finland,yes,NA,Married/cohabiting,2,Yes,Isolated,3,1,NA,NA,NA,3,2,5,5,3,3,4,4,3,2,2,1,3,4,8,7,10,NA,8,7,7,6,6,6,5,5,3,4,6,6,1,2,4
EN,31,Female,PhD/Doctorate,Up to 9 years of school,Full time employed,Finland,yes,NA,Married/cohabiting,1,Yes,Isolated,1,1,Program A,NA,No,4,4,3,3,1,4,3,2,3,4,2,2,3,6,8,7,10,5,10,6,6,5,5,5,5,4,6,5,6,6,2,4,6
EN,32,Female,"College degree, bachelor, master",College degree,Full time employed,Finland,no,NA,Married/cohabiting,1,Yes,Life carries on with minor changes,NA,NA,NA,Program D,No,2,2,3,4,4,2,4,4,2,2,2,3,3,7,8,8,10,8,9,6,6,5,4,2,4,5,5,5,5,5,2,3,4
