Dam Name,NID ID,Owner Types,Primary Owner Type,Number of Associated Structures,Primary Purpose,Latitude,Longitude,State,Distance to Nearest City (Miles),State Regulated Dam,Federally Regulated Dam,Built Under the Authority of the Secretary of Agriculture,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Inspection Frequency,Hazard Potential Classification,Condition Assessment,Inundation Maps Added to NID?
Harris Pond,RI03901,Local Government,Local Government,0,Water Supply,42.01641079,-71.50681303,Rhode Island,0,Yes,No,No,Earth,Earth;Concrete;Gravity,,,38,40,40,40,25-50 feet,1018,0,1969,1960-1969,2850,2850,1050,109,32,8500,,150,2,High,Poor,No
Lake Thunderbird Dam,IL00528,Private,Private,0,Recreation,41.20514,-89.43738,Illinois,2,Yes,No,No,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,86,,,86,51-100 feet,910,0,1970,1970-1979,3844,3844,2938,109,2.9,3320,Uncontrolled,120,1,High,Not Available,No
Upper Brushy Creek WS SCS Site 21 Dam,TX01359,Local Government,Local Government,0,Flood Risk Reduction,30.506169,-97.553175,Texas,0.5,Yes,No,Yes,Earth,Earth,Earth,Rock;Soil,49,49,49,49,25-50 feet,837,58032,1959,1950-1959,505,505,79,109,0.91,6301,Uncontrolled,51.42,5,High,Satisfactory,No
Lake Storey Dam,IL00420,Local Government,Local Government,0,Recreation,40.98841,-90.40963,Illinois,1,Yes,No,No,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,53,,,53,51-100 feet,770,0,1942,1940-1949,3016,3016,1343,109,6.77,33710,Uncontrolled,240,1,High,Not Available,No
Liberty Land/Mine 26/Slurry Cell 4 Dam,IL50357,Private,Private,0,Other,38.08239,-89.01543,Illinois,2,Yes,No,No,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,56,,,56,51-100 feet,5200,0,1997,1990-1999,2495,2495,2134,108,0.17,86,Uncontrolled,3,5,Low,Not Available,No
Windy Gap,CO02593,Local Government,Local Government,0,Irrigation,40.108334,-105.984447,Colorado,5,Yes,No,No,Earth,Earth,Earth,Rock;Soil,25,23,43,43,25-50 feet,4955,194988,1985,1980-1989,1633,1633,445,108,773,46720,Uncontrolled,390,2,Significant,Unsatisfactory,No
San Diego-Rosita Cks WS SCS Site 10 Dam,TX01932,Local Government,Local Government,0,Flood Risk Reduction,27.807113,-98.486066,Texas,15,Yes,No,Yes,Earth,Earth,,Rock;Soil,32,32,32,32,25-50 feet,3840,231300,1968,1960-1969,8800,8800,192,108,24,48117,Uncontrolled,482.5,5,High,Not Rated,No
Tewaukon Pool 8 Dam,ND00548,Federal,Federal,0,Fish and Wildlife Pond,46.002998,-97.4347,North Dakota,,Yes,Yes,No,Earth,Earth,,Soil,10,5,10,10,Less than 25 feet,1400,39625,1960,1960-1969,957,957,706,108,12.4,448,Controlled,84,5,Low,Fair,No
Flowing Park,CO00825,Local Government,Local Government,0,Water Supply,38.960001,-108.110566,Colorado,23,Yes,No,No,Earth,Earth,Earth,Rock;Soil,27,27,27,27,25-50 feet,1280,94085,1973,1970-1979,1899,1899,780,108,0,464,Uncontrolled,30,1,High,Fair,No
Barnes Meadow,CO00123,Local Government,Local Government,0,Irrigation,40.600004,-105.835566,Colorado,44,Yes,No,No,Earth,Earth,,,47,50,50,50,51-100 feet,1260,26100,1923,1920-1929,3005,3005,2329,108,3,6600,Uncontrolled,295,1,High,Satisfactory,No
Lake Doster Dam,MI00723,Private,Private,0,Recreation,42.44833333,-85.55666667,Michigan,3,Yes,No,No,Earth,Earth,,,34,34,34,34,25-50 feet,1100,0,1962,1960-1969,1650,1650,1200,108,1.4,188,Uncontrolled,12,3,High,Satisfactory,No
Rubicon Main,CA00822,Public Utility,Public Utility,2,Hydroelectric,38.9886,-120.2232,California,50,Yes,Yes,No,Concrete,Concrete;Gravity,,,35,32,40,40,25-50 feet,644,3500,1963,1960-1969,1439,1439,1439,108,27.3,39000,Uncontrolled,4,3,Low,Satisfactory,No
Belleville Pond,RI02305,Local Government,Local Government,0,Recreation,41.55976103,-71.47319035,Rhode Island,2,Yes,No,No,Rockfill,Rockfill;Masonry;Earth,,,8,7,8,8,Less than 25 feet,600,0,1800,Before 1900,461,461,403,108,8,328,,15,5,Significant,Not Rated,No
Lake Robert L Phinney Dam,TX02667,Private,Private,0,Irrigation,30.482184,-96.958777,Texas,,Yes,No,No,Earth,Earth,,,21,21,21,21,Less than 25 feet,570,0,1959,1950-1959,1505,1505,596,108,2.69,2,Uncontrolled,132,5,Low,Not Rated,No
Empire Mine Expanded Tertiary Dam,MI00810,Private,Private,0,Tailings,46.37277778,-87.60833333,Michigan,12,Yes,Yes,No,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,52,47,52,52,51-100 feet,550,0,1985,1980-1989,1483,1483,1190,108,,,Controlled,6,4,Significant,Satisfactory,No
Lindenmeirs,CO01173,Private,Private,0,Irrigation,40.606251,-105.046878,Colorado,3,Yes,No,No,Earth,Earth,,,12,12,12,12,Less than 25 feet,50,3556,1902,1900-1909,1305,1305,873,108,2,82,Uncontrolled,3.5,6,Low,Fair,No
Tewaukon Nwr Pool 8n,ND00841,Federal,Federal,0,Fish and Wildlife Pond,46.004,-97.44316,North Dakota,0,Yes,No,No,Earth,Earth,Earth,Soil,10,,,10,Less than 25 feet,0,0,,Undetermined,990,990,774,108,6.68,,Uncontrolled,30,,Low,Not Rated,No
Garzas Dam,PR00006,Public Utility,Public Utility,0,Hydroelectric,18.16667,-66.75,Puerto Rico,2,Yes,No,No,Earth,Earth,Earth,Rock,201,191,201,201,Greater than 100 feet,,1052343,1943,1940-1949,5500,5500,5500,108,6.25,25000,Uncontrolled,339,3,High,Unsatisfactory,No
Lake Meadow Dam,TX01599,State,State,0,Hydroelectric,29.528826,-97.93947,Texas,,Yes,No,No,Earth,Earth,Earth,,44,44,44,44,25-50 feet,2550,0,1930,1930-1939,3210,3210,243,107,1771,2,,741,5,High,Not Rated,No
SCS-Wildhorse Creek Site-014,OK01200,State,State,0,Flood Risk Reduction,34.442569,-97.600474,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,28,28,28,28,25-50 feet,2085,0,1962,1960-1969,1981,1981,639,107,,11400,Controlled,2,1,High,Fair,No
Elm River Detention Dam 2  ,ND00042,Local Government,Local Government,0,Flood Risk Reduction,47.30948,-97.35926,North Dakota,0,Yes,No,Yes,Earth,Earth,Earth,Soil,36,,36,36,25-50 feet,1800,77570,1966,1960-1969,6040,6040,468,107,74.5,,Uncontrolled,450,,Significant,Not Rated,No
Lake Maxwell Dam,MO32039,Private,Private,0,Recreation,38.17801868,-91.92426306,Missouri,1,Yes,No,No,Earth,Earth,Earth,Rock,80,,77,80,51-100 feet,1540,0,1999,1990-1999,3343,3343,2786,107,1.53,1607,Uncontrolled,55,3,High,Satisfactory,No
Oak Swamp Reservoir,RI01601,Local Government,Local Government,0,Recreation,41.8257561,-71.53818517,Rhode Island,3,Yes,No,No,Masonry,Masonry;Earth;Gravity,,,7,8,20,20,Less than 25 feet,1310,0,1865,Before 1900,720,720,556,107,1,540,,19,2,High,Not Rated,No
Mcninch No. 1,WY01273,Private,Private,0,Irrigation,42.599,-110.2519,Wyoming,8,Yes,No,No,Earth,Earth,Earth,Soil,33,28,33,33,25-50 feet,1150,22280,1947,1940-1949,1620,1620,1086,107,1.5,21,Uncontrolled,18,5,Low,Fair,No
Vitton Dam,MI00484,Private,Private,0,Irrigation,47.18,-88.56666667,Michigan,6,Yes,No,No,Earth,Earth,,,7,10,7,10,Less than 25 feet,1100,0,1960,1960-1969,300,300,300,107,1.8,,Uncontrolled,90,5,Low,Not Rated,No
West Fork Above Bridgeport WS SCS Site 3b Dam,TX03214,Local Government,Local Government,0,Flood Risk Reduction,33.428155,-98.05996,Texas,,Yes,No,Yes,Earth,Earth,,,42,42,42,42,25-50 feet,1011,0,1951,1950-1959,1933,1933,396,107,3.7,0,Uncontrolled,200,,Low,Not Rated,No
Lake Hillsboro Dam,IL00699,Local Government,Local Government,0,Recreation,39.18006,-89.47873,Illinois,1,Yes,No,No,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,34,,,34,25-50 feet,693,0,1917,1910-1919,1747,1747,879,107,6.8,3276,Uncontrolled,93,5,Significant,Not Available,No
Daguey Dam Structure 3,PR00073,State,State,0,Flood Risk Reduction,18.315,-67.13528,Puerto Rico,2,Yes,No,Yes,Earth,Earth,Earth,Rock;Soil,50,,50,50,51-100 feet,560,0,1978,1970-1979,334,334,334,107,0.88,2400,Uncontrolled,60,3,High,Poor,No
Dam No 4,KS07341,Private,Private,0,Recreation,38.37719,-94.722866,Kansas,2,Yes,No,No,,,Unlisted/Unknown,Unlisted/Unknown,68,,,68,51-100 feet,1420,739370,1985,1980-1989,4159.4,4159.4,2600.9,106.5,2.08,0,,100,,High,Poor,No
Springfield Coal/Orient 6 /South Slurry Cell Dam,IL50061,Private,Private,0,Other,38.18811,-89.02329,Illinois,2,Yes,No,No,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,54,,,54,51-100 feet,8400,0,1985,1980-1989,3907,3907,3485,106,0.2,19,Uncontrolled,7,3,Significant,Not Available,No
Tigers,CO02856,Local Government,Local Government,0,Water Supply,39.86311,-104.924504,Colorado,1,Yes,No,No,Earth,Earth,Earth,Soil,8,5,10,10,Less than 25 feet,6800,53600,2004,Since 2000,2974,2974,2655,106,0,24700,Uncontrolled,1900,6,Low,Not Rated,No
Hurricane Creek,FL00003,State,State,0,Recreation,30.942282,-86.749884,Florida,31,Yes,No,No,Earth,Earth,Earth,Soil,26,,,26,25-50 feet,1710,144906,1970,1970-1979,2746,2746,2323,106,2.89,1018,Uncontrolled,120,0,Low,Not Rated,No
Lake De Lafosse Dam,TX03114,Private,Private,0,Recreation,32.7332,-99.108467,Texas,,Yes,No,No,Earth,Earth,Earth,Unlisted/Unknown,24,24,24,24,Less than 25 feet,1670,0,1925,1920-1929,1187,1187,773,106,13.7,2,Uncontrolled,300,5,High,Not Rated,No
Soldier Annex Dam,AZ10132,Federal,Federal,0,Irrigation,34.78122945,-111.2282072,Arizona,35,No,Yes,No,Earth,Earth,Earth,Rock;Soil,30,27,30,30,25-50 feet,1660,123852,1935,1930-1939,1886,1886,1886,106,3,2700,Uncontrolled,130,10,Low,Not Rated,No
Richart Dam ,IN03493,Federal,Federal,0,Fish and Wildlife Pond,38.955002,-85.798332,Indiana,,No,Yes,No,Earth,Earth,,Soil,21,19,28,28,25-50 feet,1650,125094,1980,1980-1989,1772,1772,478,106,4.4,13007,,354,5,Low,Fair,No
Brookfield Dam,MO10181,Private,Private,0,Water Supply,39.79548082,-93.02748485,Missouri,1,Yes,No,No,Earth,Earth,Earth,Rock;Soil,43,,43,43,25-50 feet,1350,380000,1959,1950-1959,1775,1775,1365,106,1.03,2150,Uncontrolled,100,2,High,Satisfactory,No
Magmont Tailings Dam,MO30917,Private,Private,0,Tailings,37.63150816,-91.10856086,Missouri,2,Yes,No,No,Other,Other,Earth,Rock,135,,134,135,Greater than 100 feet,1190,295000,1979,1970-1979,4600,4600,3500,106,1.02,6572,Uncontrolled,65,2,High,Satisfactory,No
Arbor Valley Lake Dam,IA03905,Private,Private,0,Recreation,41.0022,-93.8085,Iowa,3,Yes,No,No,Earth,Earth,,Soil,58,,,58,51-100 feet,867,206400,2008,Since 2000,2593,2593,1592,106,1.91,,Uncontrolled,4,2,High,Satisfactory,No
Kerrville Ponding Dam,TX04650,Local Government,Local Government,0,Irrigation,30.053469,-99.165033,Texas,,Yes,No,No,Earth,Earth;Other,Concrete,Rock;Soil,35,35,35,35,25-50 feet,826,0,1980,1980-1989,2499,2499,835,106,488,75414,,608,5,Significant,Fair,No
Morristown Lake,SD00745,State,State,0,Recreation,45.919154,-101.758971,South Dakota,2,Yes,No,No,Earth,Earth,Earth,Soil,24,24,24,24,Less than 25 feet,800,12000,1938,1930-1939,1950,1950,848,106,19,4435,Uncontrolled,60,3,Significant,,No
Bull Run Dam,NV00037,Private,Private,0,Irrigation,41.63818,-116.15345,Nevada,0,Yes,No,No,Earth,Earth,Earth,Rock,37,28,40,40,25-50 feet,541,50000,1955,1950-1959,1250,1250,1000,106,60.3,1500,Uncontrolled,42,5,Low,Poor,No
Watervliet Dam,MI00204,Private,Private,0,Recreation,42.19166667,-86.26,Michigan,0,No,No,No,Gravity,Gravity,,,11,11,11,11,Less than 25 feet,130,0,1849,Before 1900,400,400,340,106,0,3500,Controlled,60,0,Undetermined,Not Rated,No
G-65,FL74005,Local Government,Local Government,0,Flood Risk Reduction,26.2309,-80.1595,Florida,0,Yes,No,No,Concrete,Concrete,Concrete,Rock;Soil,14,10,18,18,Less than 25 feet,35,7000,1962,1960-1969,800,800,700,106,200,50,Controlled,5,,Low,Not Rated,No
Highland #1,CO01210,Private,Private,0,Irrigation,40.216641,-104.988963,Colorado,7,Yes,No,No,Earth,Earth,Earth,Soil,17,13,17,17,Less than 25 feet,2350,64412,1879,Before 1900,1382,1382,1001,105,0,500,Uncontrolled,80,2,Significant,Satisfactory,No
Oak Creek,WY01366,Private,Private,0,Irrigation,44.7521,-104.0991,Wyoming,17,Yes,No,No,Earth,Earth,Earth,Soil,41,34,41,41,25-50 feet,1600,13900,1976,1970-1979,2500,2500,915,105,45,2019,Uncontrolled,90,5,Significant,Poor,No
Beaver Park,CO01200,Private,Private,0,Irrigation,40.118876,-105.519364,Colorado,18,Yes,No,No,Earth,Earth,,,33,33,33,33,25-50 feet,1470,9384,1892,Before 1900,2731,2731,2161,105,7,2635,Uncontrolled,50,1,High,Satisfactory,No
Glen O. Jones Lake Dam,IL00025,State,State,0,Recreation,37.69006,-88.38207,Illinois,4,Yes,No,No,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,42,,,42,25-50 feet,1275,0,1963,1960-1969,2551,2551,1433,105,1.5,4766,Uncontrolled,103,3,Significant,Not Available,No
Little Sni-A-Bar No. 1,MO10480,Local Government,Local Government,0,Flood Risk Reduction,39.06800001,-93.90401679,Missouri,15,Yes,No,Yes,Earth,Earth,Earth,Rock;Soil,49,,49,49,25-50 feet,1200,40000,1973,1970-1979,5860,5860,651,105,14.38,12200,Uncontrolled,350,5,Low,Satisfactory,No
Ashley Branch Dam,MO31857,Private,Private,0,Recreation,38.07730651,-91.08389556,Missouri,14,Yes,No,No,Earth,Earth,,,58,,58,58,51-100 feet,1070,110000,1986,1980-1989,1970,1970,1970,105,6.88,20817,Uncontrolled,50,3,High,Satisfactory,No
Sykeston Dam,ND00009,Local Government,Local Government,0,Water Supply,47.48454,-99.39673,North Dakota,35,Yes,No,No,Earth,Earth,Earth,Soil,27,,,27,25-50 feet,1020,14515,1908,1900-1909,3790.8,3790.8,806,105,205,,Uncontrolled,300,,Low,Not Rated,No
Lake Montex Dam,TX01188,Private,Private,0,Irrigation,32.660889,-97.609056,Texas,16,Yes,No,No,Earth,Earth,Earth,Rock;Soil,50,50,50,50,51-100 feet,1000,0,1955,1950-1959,2090,2090,1030,105,1.77,13033,Uncontrolled,300,5,High,Not Rated,No
Mingus Lake Dam,TX03838,Private,Private,0,Irrigation,32.560836,-98.410792,Texas,,Yes,No,No,Earth,Earth,Earth,,30,22,30,30,25-50 feet,860,0,,Undetermined,2244,2244,1260,105,9.28,15746,Uncontrolled,220,5,Significant,Not Rated,No
Wheeler Creek Dam,MI00419,Private,Private,0,Recreation,44.48333333,-85.67,Michigan,7,Yes,No,No,Earth,Earth,,,21,21,21,21,Less than 25 feet,450,0,1965,1960-1969,1144,1144,892,105,1.4,100,Controlled,13,4,Significant,Satisfactory,No
Cottonwood #1,CO01754,Private,Private,0,Irrigation,39.075009,-107.97057,Colorado,9,Yes,No,No,Earth,Earth,Earth,Rock;Soil,31,29,31,31,25-50 feet,410,10250,1894,Before 1900,2393,2393,1902,105,2,426,Uncontrolled,60,1,High,Fair,No
Springfield Coal/Crown 3/Fine Refuse Ext 2 Dam,IL50482,Private,Private,0,Tailings,39.44105,-89.70734,Illinois,0,Yes,No,No,Earth,Earth,Earth,Soil,27,,,27,25-50 feet,6175,0,,Undetermined,2490,2490,1875,104.4,0.16,29,Uncontrolled,9,1,High,Not Available,No
Stone Canyon,OK83006,Private,Private,0,Recreation,36.257737,-95.781527,Oklahoma,1,Yes,No,No,Earth,Earth,Earth;Unlisted/Unknown,Rock;Soil,32,32,32,32,25-50 feet,5280,0,2009,Since 2000,2110,2110,1032,104,2.56,2000,Controlled,4,1,High,Fair,Yes
Reed,WY01207,Private,Private,0,Irrigation,41.1548,-110.2254,Wyoming,41,Yes,No,No,Earth,Earth,Earth,Soil,39,34,39,39,25-50 feet,3150,72310,1960,1960-1969,1538,1538,1077,104,0,0,Uncontrolled,50,5,Low,Fair,No
Clear Creek WS SCS Site 6 Dam,TX02745,Local Government,Local Government,0,Flood Risk Reduction,31.611346,-99.085762,Texas,5,Yes,No,Yes,Earth,Earth,Earth,Rock;Soil,50,50,50,50,51-100 feet,2101,349750,1958,1950-1959,8083,8083,694,104,21.7,22434,Uncontrolled,416,5,High,Not Rated,No
Escondido Creek WS SCS Site 9 Dam,TX02040,Local Government,Local Government,0,Flood Risk Reduction,28.866278,-97.997879,Texas,9.7,Yes,No,Yes,Earth,Earth,Earth,Soil,33,33,33,33,25-50 feet,2071,0,1957,1950-1959,4866,4866,601,104,7,13600,Uncontrolled,451.75,5,High,Satisfactory,No
Silver Lake,CO00249,Local Government,Local Government,0,Water Supply,40.028217,-105.577357,Colorado,17,Yes,No,No,Earth,Earth,,,70,62,70,70,51-100 feet,1450,28710,1887,Before 1900,4819,4819,3987,104,8,8370,Uncontrolled,100,1,High,Fair,No
Lake Frankston Dam,TX00164,Private,Private,0,Recreation,31.960507,-95.537861,Texas,,Yes,No,No,Earth,Earth,,,34,34,34,34,25-50 feet,1230,0,1951,1950-1959,1675,1675,1155,104,6.4,5500,Uncontrolled,110,,Low,Not Rated,No
Eagar-Slade,AZ00126,Private,Private,0,Fish and Wildlife Pond,33.99944,-109.33278,Arizona,,Yes,No,No,Earth,Earth,Earth,Rock;Soil,18,18,,18,Less than 25 feet,466,13870,1945,1940-1949,899,899,522,104,3,736,Uncontrolled,38,5,Low,Not Rated,No
Byron Dam,MI00378,Local Government,Local Government,0,Recreation,42.82072,-83.94452,Michigan,0,Yes,No,No,Earth,Earth,,,15,15,15,15,Less than 25 feet,185,0,1847,Before 1900,600,600,500,104,191,1287,Uncontrolled,35,5,Low,Fair,No
Mpd No 4-16,KS07220,Local Government,Local Government,0,Flood Risk Reduction,38.05481337,-99.95289286,Kansas,,Yes,No,No,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,54,,,54,51-100 feet,2900,582000,,Undetermined,8219.4,8219.4,712.2,103.9,33.15,,Uncontrolled,600,,High,Poor,No
North Tucks Slough Dam,MT04012,Federal,Federal,0,Fish and Wildlife Pond,44.630276,-111.635551,Montana,,No,Yes,No,Earth,Earth,Earth,Soil,13,10,13,13,Less than 25 feet,5595,121280,1990,1990-1999,560,560,200,103,0.42,98,Controlled,7,5,Low,Poor,No
Lakeview WS SCS Site 14 Dam,TX04870,Local Government,Local Government,0,Flood Risk Reduction,34.723232,-100.693814,Texas,3,Yes,No,Yes,Earth,Earth,Earth,Rock;Soil,48,48,48,48,25-50 feet,2500,410139,1979,1970-1979,5248,5248,899,103,19.4,10610,Uncontrolled,353,5,High,Fair,No
Cottonwood,WY02028,Private,Private,0,Flood Risk Reduction,44.405833,-105.513333,Wyoming,100,Yes,No,No,Earth,Earth,Earth,Soil,41,34,41,41,25-50 feet,1500,102378,1994,1990-1999,2043,21,2043,103,28.5,5261,Uncontrolled,75,5,Significant,Fair,No
Pole Mountain,CO01001,Private,Private,0,Irrigation,40.506439,-106.499681,Colorado,23,Yes,No,No,Earth,Earth,,,40,47,52,52,51-100 feet,780,68787,1964,1960-1969,2523,2523,1905,103,3,1362,Uncontrolled,25,1,High,Satisfactory,No
Ponderosa,CA00274,Public Utility,Public Utility,1,Hydroelectric,39.5493,-121.3039,California,1,Yes,Yes,No,Earth,Earth;Rockfill,Earth,Rock,157,135,160,160,Greater than 100 feet,653,660000,1962,1960-1969,4834,4834,4750,103,108.3,60500,Controlled,97,3,Low,Satisfactory,No
Snoqualmie Falls,WA00295,Private,Private,1,Hydroelectric,47.541447,-121.837358,Washington,5,No,Yes,No,Gravity,Gravity;Concrete,Concrete,Rock,19,,,19,Less than 25 feet,253,0,1898,Before 1900,566,566,566,102.6,400,10000,Uncontrolled,253,3,Low,Satisfactory,No
Mulberry N,FL10073,Private,Private,0,Tailings,27.91,-81.910004,Florida,2,Yes,No,No,Earth,Earth;Other,,,100,95,105,105,Greater than 100 feet,12830,16869074,,Undetermined,2048,2048,1434,102,102.4,110,Controlled,64,0,Significant,Not Rated,No
Mulberry Nw,FL10085,Private,Private,0,Tailings,27.879999,-81.889999,Florida,2,Yes,No,No,Earth,Earth;Other,,,100,95,105,105,Greater than 100 feet,8870,11662933,,Undetermined,2048,2048,1434,102,102.4,110,Controlled,64,0,Significant,Not Rated,No
Bradley Jxn 6,FL10094,Private,Private,0,Tailings,27.84,-81.919998,Florida,4,Yes,No,No,Earth,Earth;Other,,,100,95,105,105,Greater than 100 feet,8818,11593511,,Undetermined,2048,2048,1434,102,102.4,110,Controlled,64,0,Significant,Not Rated,No
Gardiner Pond,RI01902,Local Government,Local Government,0,Water Supply,41.48837662,-71.25479894,Rhode Island,0,Yes,No,No,Rockfill,Rockfill;Earth,,,20,9,12,20,Less than 25 feet,7700,0,1885,Before 1900,1350,1350,1230,102,2,50,,8,2,High,Poor,No
Kajan Diversion,WY00589,Private,Private,0,Irrigation,44.9879,-104.6998,Wyoming,59,Yes,No,No,Earth,Earth,Earth,Soil,19,14,19,19,Less than 25 feet,3200,47231,1965,1960-1969,694,694,144,102,0,0,Uncontrolled,600,5,Low,Fair,No
Lake Bulger Dam,TX02691,Private,Private,0,Other,32.162427,-99.884056,Texas,,Yes,No,No,Earth,Earth,Earth,Unlisted/Unknown,22,22,22,22,Less than 25 feet,2600,0,1923,1920-1929,2000,2000,870,102,7,5650,Uncontrolled,150,2,High,Unsatisfactory,No
Lower Big Bethel Dam,VA199002,Federal,Federal,0,Recreation,37.092121,-76.414338,Virginia,0,No,Yes,No,Earth,Earth,Earth;Unlisted/Unknown,Unlisted/Unknown,16,,,16,Less than 25 feet,2439,830,,Undetermined,830,830,677,102,7.92,1650,Controlled,100,5,Significant,Not Available,No
Mill Creek Dam,MO20776,Private,Private,0,Recreation,38.83321605,-94.6013382,Missouri,0,Yes,No,No,Earth,Earth,Earth,Soil,62,,62,62,51-100 feet,1320,0,1987,1980-1989,3850,3850,3162,102,5.69,12891,Uncontrolled,100,2,High,Satisfactory,No
Lake Gallimore Dam,IN03008,Federal,Federal,1,Flood Risk Reduction,38.74778,-86.84944,Indiana,0,No,Yes,Yes,Earth,Earth,Concrete,Rock,23,26,26,26,25-50 feet,890,12300,1962,1960-1969,6740,6740,471,102,41.7,21982,Uncontrolled,870,3,Significant,Satisfactory,No
River Pool Dam ,ND00401,Federal,Federal,0,Fish and Wildlife Pond,46.014,-97.417999,North Dakota,,Yes,Yes,No,Earth,Earth,Earth,Soil,11,11,12,12,Less than 25 feet,680,9320,1967,1960-1969,616,616,217,102,472.7,557,Controlled,30,5,Low,Poor,No
Hitts Lake Dam,TX00269,Private,Private,0,Irrigation,32.450408,-95.304844,Texas,,Yes,No,No,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,,26,26,26,26,25-50 feet,610,0,1945,1940-1949,1380,1380,852,102,5.3,560,Uncontrolled,28.5,5,High,Not Rated,No
Faulkton Dam,SD00017,State,State,0,Recreation,45.032916,-99.167462,South Dakota,2,Yes,No,No,Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Soil,39,39,39,39,25-50 feet,580,36000,1936,1930-1939,1250,1250,320,102,145,8900,Uncontrolled,200,3,High,Fair,No
North Michigan Creek,CO00999,State,State,0,Recreation,40.553353,-106.008663,Colorado,18,Yes,No,No,Earth,Earth,,,60,33,75,75,51-100 feet,402,75591,1963,1960-1969,1869,1869,1267,102,18,1400,Uncontrolled,20,2,Significant,Satisfactory,No
Slatersville Reservoir Middle,RI02502,Private,Private,0,,41.99769971,-71.58184813,Rhode Island,1,Yes,No,No,Masonry,Masonry;Other;Earth,,,26,15,15,26,25-50 feet,310,0,1886,Before 1900,1330,1330,740,102,94,7500,,150,2,High,Poor,No
SCS-Upper Muddy Boggy Creek Site-20,OK22144,State,State,0,Flood Risk Reduction,34.765914,-96.161435,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,35,31,35,35,25-50 feet,,0,1978,1970-1979,1009,1009,644,102,,,Controlled,2,5,Low,Not Rated,No
Miami Co. State Fishing Lake,KS00884,State,State,0,,38.421728,-94.793298,Kansas,9,Yes,No,No,,,Unlisted/Unknown,Unlisted/Unknown,28,20,23,28,25-50 feet,6200,25000,1941,1940-1949,789,789,473,101.5,1.21,1125,,125,,Low,,No
Bosserman Dam,ND00228,Private,Private,0,Irrigation,46.714744,-103.899862,North Dakota,0,Yes,No,No,Earth,Earth,Earth,Soil,39,,,39,25-50 feet,2020,73500,1971,1970-1979,2377.5,2377.5,1033,101.3,0,,Uncontrolled,400,,Low,Not Rated,No
"Detroit Metro Airport Stormwater Ponds 3w, 3e & 4",MI02681,Private,Private,0,Flood Risk Reduction,42.220932,-83.327724,Michigan,2,Yes,No,No,Earth,Earth,,,14,11,14,14,Less than 25 feet,16500,0,1945,1940-1949,830,830,35,101,2.8,108,Controlled,80,5,Low,Satisfactory,No
Sooner Land & Cattle Co.,OK13068,Private,Private,0,Recreation,36.31999969,-96.13500214,Oklahoma,14,Yes,No,No,Earth,Earth,Earth,Soil,50,50,50,50,51-100 feet,11000,0,1970,1970-1979,3900,3900,2200,101,,1,Controlled,4,0,Undetermined,Not Rated,No
Johnsonville Fossil Plant - Ash Disposal Area Perimeter Dike (Island),TN08512,Federal,Federal,0,Other,36.023,-87.995,Tennessee,1,No,Yes,No,Earth,Earth,Earth,Soil,41,35,41,41,25-50 feet,10066,1884467,1968,1960-1969,323,323,228,101,0.14,279,Uncontrolled,15,1,Significant,Not Available,No
SCS-Big Wewoka Creek Site-33,OK01315,State,State,0,Flood Risk Reduction,35.126294,-96.441867,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,44,44,44,44,25-50 feet,3350,0,1964,1960-1969,3370,3370,614,101,,4710,Controlled,2,5,Low,Not Rated,No
SCS-Upper Red Rock Creek Site-53,OK01423,State,State,0,Flood Risk Reduction,36.430375,-97.377828,Oklahoma,,Yes,No,Yes,Earth,Earth,Earth,Soil,28,28,28,28,25-50 feet,2600,0,1973,1970-1979,2640,2640,439,101,,1270,Controlled,2,5,Low,Not Rated,No
Tanglewood Lake,KS01306,Private,Private,0,Recreation,38.273633,-94.824759,Kansas,14,Yes,No,No,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,48,,,48,25-50 feet,1625,309000,,Undetermined,2840,2840,2200,101,2.3,,Uncontrolled,70,,Low,,No
Tanyard Lake Dam,TX03556,Private,Private,0,Other,32.430415,-94.681176,Texas,,Yes,No,No,Earth,Earth,,,46,46,46,46,25-50 feet,1400,0,1958,1950-1959,2600,2600,1120,101,2.2,3220,Uncontrolled,200,,Low,Not Rated,No
